Label,Features
n07749192,[160 159 149 ...  28  33  43]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[66 71 71 ... 87 97 98]
n07749192,[127  94  55 ... 133  98  64]
n07749192,[ 17  37  54 ...  57 114 119]
n07749192,[122 134 133 ... 112 115 123]
n07749192,[ 36 122 205 ...  12 135 214]
n07749192,[  3 150 186 ...  11  47  69]
n07749192,[ 8  7  3 ... 35 42 47]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[33 32 63 ... 31 54 80]
n07749192,[16 17 15 ... 92 92 92]
n07749192,[ 13  21  24 ...  66  89 111]
n07749192,[17 23 23 ... 33 39 36]
n07749192,[0 0 0 ... 0 0 0]
n07749192,[ 25  28  27 ... 135 147 153]
n07749192,[113 117 118 ...  82 137 150]
n07749192,[105 151 168 ... 158 205 213]
n07749192,[85 94 83 ...  1 87 54]
n07749192,[254 253 251 ...  67  64  64]
n07749192,[  5  42 130 ...   2  13 129]
n07749192,[  5   5   5 ...  70  96 163]
n07749192,[48 74 68 ... 11 48 45]
n07749192,[254 254 254 ... 255 255 255]
n07749192,[182 183 179 ... 210 212 206]
n07749192,[  3 106 212 ...   3  41 159]
n07749192,[ 18  47  45 ...   5 144 226]
n07749192,[60 45 77 ... 35 62 97]
n07749192,[216 214 215 ... 186 188 187]
n07749192,[30 33 38 ... 37 44 78]
n07749192,[140 167 250 ... 212 225 245]
n07749192,[140 208 253 ... 140 208 253]
n07749192,[ 70 106  14 ...  42  52  48]
n07749192,[141 138 130 ... 146 151 152]
n07749192,[236 233 252 ... 201 183 243]
n07749192,[254 254 254 ... 254 254 254]
n07749192,[ 12  31  29 ...  11 101 229]
n07749192,[57 62 83 ... 68 67 88]
n07749192,[ 1 38 30 ...  2 14 37]
n07749192,[8 8 8 ... 7 7 7]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[0 0 0 ... 0 0 0]
n07749192,[151 123 119 ...   0  20   4]
n07749192,[ 17  28  32 ... 109 111 111]
n07749192,[191 201 195 ... 214 223 222]
n07749192,[  3  11  60 ...  26  57 203]
n07749192,[113 132 156 ... 128 146 169]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[ 45 190 225 ...   2  63 178]
n07749192,[85 52 40 ... 95 52 37]
n07749192,[ 42  50 195 ...  16  49 141]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[167 212 244 ... 178 110 169]
n07749192,[ 1 17 29 ...  1 17 29]
n07749192,[252 252 252 ... 249 249 249]
n07749192,[254 249 240 ... 229 224 220]
n07749192,[  3 162 253 ...   2  10  29]
n07749192,[145 149 137 ... 147 149 137]
n07749192,[10 11 12 ...  3  3  3]
n07749192,[  4  64 179 ...   4  51 157]
n07749192,[ 53  80  71 ... 169 195 209]
n07749192,[171 179 169 ... 237 234 230]
n07749192,[ 59 125 201 ...  68 131 203]
n07749192,[ 33  67  65 ... 241 252 252]
n07749192,[23 15 22 ... 23 15 22]
n07749192,[241 241 241 ... 175 175 175]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[252 254 255 ... 252 254 248]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[ 91 250 254 ...   6   7   7]
n07749192,[142 142 151 ... 196 190 194]
n07749192,[196 185 167 ...  23  34  28]
n07749192,[207 207 197 ... 247 247 231]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[61 51 53 ... 48 49 47]
n07749192,[ 68 130 116 ...  89 159 147]
n07749192,[40 34 39 ... 27 26 28]
n07749192,[87 68 57 ... 10 27 66]
n07749192,[200 209 182 ... 241 245 233]
n07749192,[ 76 182 249 ... 208 229 240]
n07749192,[ 25 177 245 ...  31  96 164]
n07749192,[254 254 254 ... 215 247 245]
n07749192,[254 254 254 ... 255 255 255]
n07749192,[126 162 178 ... 232 232 232]
n07749192,[ 33 140 243 ...   0   0   8]
n07749192,[222 248 242 ... 189 229 224]
n07749192,[1 1 1 ... 1 1 1]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[11 12 14 ... 22 33 31]
n07749192,[ 43 105 154 ...  37  97 185]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[253 253 251 ... 255 251 251]
n07749192,[ 59 128 197 ...  30  40  91]
n07749192,[216 226 233 ... 200 211 219]
n07749192,[ 26  40  28 ... 109 129 116]
n07749192,[ 64  79  74 ... 104  93  77]
n07749192,[ 26  90 253 ...   3  29 112]
n07749192,[18 43 39 ... 16 21 17]
n07749192,[ 34  42  36 ... 146 158 135]
n07749192,[ 54 132 101 ...  89 129 123]
n07749192,[148 148 148 ... 147 147 147]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[ 35  94 187 ...  44  92 191]
n07749192,[167 199 223 ... 179 195 212]
n07749192,[220 228 230 ... 179 188 193]
n07749192,[137 177 179 ...  69 157 108]
n07749192,[194 196 216 ... 143 155 175]
n07749192,[ 0  0  0 ...  1 13 61]
n07749192,[44 55 71 ... 26 13 32]
n07749192,[ 78 109  69 ... 112 182 188]
n07749192,[ 23 100 193 ...  12  24  86]
n07749192,[113 108  98 ...  69 100 125]
n07749192,[72 72 72 ...  1  1  1]
n07749192,[69 29 23 ... 20 22 39]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[254 254 254 ...  21 115 111]
n07749192,[ 3  3  3 ... 35 37 31]
n07749192,[ 53  66  65 ...  44 124 216]
n07749192,[74 82 80 ...  8 21 32]
n07749192,[ 20 125 219 ...   5  90 211]
n07749192,[9 9 9 ... 9 9 9]
n07749192,[24 96 79 ... 44 59 45]
n07749192,[ 20  86 210 ...   3   7  56]
n07749192,[ 80 110 162 ...  34  37  41]
n07749192,[ 41  46 136 ...  34 101 226]
n07749192,[102 102 102 ... 102 102 102]
n07749192,[62 29 30 ... 44 17 19]
n07749192,[144 163 164 ... 177 204 215]
n07749192,[196 215 220 ... 221 225 226]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[253 252 254 ... 254 254 254]
n07749192,[156 154 173 ...  81 102 115]
n07749192,[228 213 196 ...   7  41  76]
n07749192,[ 78 138 237 ...  39  97 208]
n07749192,[250 255 254 ... 255 255 255]
n07749192,[ 4  9  8 ... 40 57 78]
n07749192,[ 58  96  70 ... 106 183 211]
n07749192,[ 38 120 239 ...  42 109 231]
n07749192,[  0   0   0 ...  45 118 146]
n07749192,[210 219 223 ... 230 234 239]
n07749192,[186 175 167 ... 127 114 113]
n07749192,[ 72 116  89 ...   4   5   3]
n07749192,[255 227 200 ... 205 240 231]
n07749192,[ 6 17  9 ...  1 13  4]
n07749192,[8 8 8 ... 7 7 7]
n07749192,[191 200 204 ... 168 159 155]
n07749192,[192 191 200 ... 129 128 137]
n07749192,[ 34  40  45 ...  98 104 104]
n07749192,[  2 107 253 ...  37  57  86]
n07749192,[ 35  91 100 ...   0  17  26]
n07749192,[ 79  84 136 ...  18  18  17]
n07749192,[ 58 121 255 ...   3  87 228]
n07749192,[ 30  44  62 ...  63  92 114]
n07749192,[198 207 181 ... 247 247 231]
n07749192,[255 255 255 ...  72 144 227]
n07749192,[126 152 104 ... 191 201 211]
n07749192,[1 1 1 ... 0 0 0]
n07749192,[27 29 23 ... 21 14 11]
n07749192,[242 243 239 ... 228 234 229]
n07749192,[0 0 0 ... 1 1 1]
n07749192,[ 18  21  16 ... 176 174 123]
n07749192,[254 254 254 ... 254 254 254]
n07749192,[190 183 209 ... 252 238 189]
n07749192,[ 8  8 16 ... 16 16 16]
n07749192,[ 69  68  44 ... 102 108 104]
n07749192,[206 210 191 ... 242 245 236]
n07749192,[ 81 145  30 ...  60 145  43]
n07749192,[ 29  57  25 ... 252 223 223]
n07749192,[179 204 220 ...  22  28  50]
n07749192,[ 56 143  48 ...  44 146  44]
n07749192,[  6   7   7 ... 148 139 160]
n07749192,[  3  67 216 ...   5  54 138]
n07749192,[ 45 148 251 ...  12  63 170]
n07749192,[251 254 252 ... 251 254 252]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[ 79 121 115 ...   2  95  68]
n07749192,[109 155 179 ...   2  21  18]
n07749192,[142 124  90 ...   2  37  68]
n07749192,[ 35 142 213 ...  16  73 123]
n07749192,[173 192 187 ...   3  72  58]
n07749192,[244 247 253 ... 250 253 255]
n07749192,[  8  67 152 ...   6  61 153]
n07749192,[ 91 102 110 ... 135 128 144]
n07749192,[115 119 137 ...  69  77 104]
n07749192,[ 25  25  19 ...  37  87 152]
n07749192,[  1  62 126 ...   2  88 173]
n07749192,[47 54 37 ... 92 64 41]
n07749192,[ 71 102 125 ...   4  10  17]
n07749192,[ 43 100  71 ... 121 165 195]
n07749192,[255 253 255 ... 255 255 255]
n07749192,[55 55 55 ... 54 63 67]
n07749192,[163 253 210 ... 244 255 255]
n07749192,[160 207 252 ...   6   8  65]
n07749192,[ 56  69  83 ... 103 121 142]
n07749192,[186 114  84 ...  71  18  18]
n07749192,[25 67 45 ... 13 20 17]
n07749192,[  5   8  10 ... 125 147 128]
n07749192,[254 255 252 ... 255 255 255]
n07749192,[  5  99 252 ...  98 217 255]
n07749192,[  1  73 230 ...   1  74 217]
n07749192,[ 3 37 47 ...  7 14 22]
n07749192,[253 254 252 ... 249 253 254]
n07749192,[32 41 59 ...  8  6  6]
n07749192,[ 97 103  92 ...   4 102 203]
n07749192,[129 141 144 ...  71 172 168]
n07749192,[ 18  19  32 ... 112 116  89]
n07749192,[ 66 145 237 ...  33 108 189]
n07749192,[103 125 100 ... 102 134 139]
n07749192,[ 60  55  62 ... 104 114 104]
n07749192,[ 1  1  1 ...  9 20 47]
n07749192,[  1 108 225 ... 200 200 239]
n07749192,[151 160 201 ... 115 164 220]
n07749192,[85 82 92 ... 65 64 70]
n07749192,[ 49  45 181 ...  25  57 184]
n07749192,[  2  58 222 ...   5  94 238]
n07749192,[ 49 102  63 ...  62 112  82]
n07749192,[124 100  82 ...  39  57  76]
n07749192,[231 222 203 ...   6   7   7]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[ 37  41  41 ... 157 153 153]
n07749192,[120  78  65 ... 138  97  74]
n07749192,[162 159 179 ...  48  64  70]
n07749192,[  3  94 176 ...   3   8   7]
n07749192,[  3 136 219 ...  16  87 220]
n07749192,[251 228 227 ...  20  44  36]
n07749192,[ 56  95 161 ...  53  54  52]
n07749192,[  2  84 152 ...   0  77 148]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[ 84 173 251 ... 174 185 212]
n07749192,[ 24  15   6 ... 221 213 221]
n07749192,[ 99 120  57 ... 185 199 211]
n07749192,[255 255 255 ... 253 253 253]
n07749192,[ 23 123 202 ...   6  80 146]
n07749192,[2 6 0 ... 0 0 0]
n07749192,[4 1 2 ... 1 1 3]
n07749192,[197 148 135 ... 107  90  78]
n07749192,[195 225 236 ... 191 220 234]
n07749192,[19 24 23 ... 21 30 75]
n07749192,[251 253 253 ... 251 253 253]
n07749192,[ 30 149 252 ...   6 117 233]
n07749192,[20 21 24 ... 39 43 38]
n07749192,[248 253 255 ... 255 255 255]
n07749192,[  2   2   2 ...  88 178 250]
n07749192,[254 252 253 ... 253 252 253]
n07749192,[ 86  94  94 ... 224 166 125]
n07749192,[105 158 183 ...  53 102 104]
n07749192,[  3  18  16 ...  80 135 144]
n07749192,[ 33  28  28 ... 153 154 174]
n07749192,[102  95 101 ...  35  53  36]
n07749192,[ 8 16 20 ... 42 78 65]
n07749192,[16 22 30 ... 32 53 74]
n07749192,[0 0 0 ... 0 0 0]
n07749192,[120 120 120 ...  26  26  26]
n07749192,[ 46 117 231 ...   1 130 204]
n07749192,[ 13  10  63 ... 165 131 111]
n07749192,[249 243 255 ... 254 254 254]
n07749192,[ 26  71  33 ... 183 206 208]
n07749192,[ 17  24  29 ...  45  72 102]
n07749192,[43 53 56 ...  4 11 16]
n07749192,[ 84  96 252 ...  95 122 215]
n07749192,[212 219 198 ... 241 245 234]
n07749192,[40 86 27 ... 28 54 14]
n07749192,[ 34  41  58 ...  64 110 238]
n07749192,[0 0 0 ... 0 0 0]
n07749192,[ 12 103 144 ...   5  64 114]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[  0   0   0 ... 195 198 204]
n07749192,[151 157 107 ...   1  16  62]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[  9 191 249 ...  67 115 189]
n07749192,[ 17 101 253 ... 103 154 254]
n07749192,[ 62  45  38 ... 255 255 255]
n07749192,[5 0 0 ... 0 0 0]
n07749192,[ 87  94 114 ...  26  37  44]
n07749192,[ 41 146 180 ...  63 139 177]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[ 18  86  62 ...  10  96 200]
n07749192,[224 162 141 ...  35  51  51]
n07749192,[140 177 191 ... 161 206 220]
n07749192,[  3  45 134 ...  54  82  98]
n07749192,[ 23  21  20 ... 209 226 232]
n07749192,[ 72  93 107 ... 203 214 208]
n07749192,[ 4 15 15 ... 23 22 22]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[240 196 117 ...  13   5   7]
n07749192,[ 1 11 21 ...  1 11 21]
n07749192,[152 175 210 ... 121 131 162]
n07749192,[ 42  42  35 ...   3 152 230]
n07749192,[254 241 178 ...  88 231 255]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[ 12   9  32 ... 110 121 154]
n07749192,[  8  69 184 ...  21  39  49]
n07749192,[10 64 70 ...  6 26 24]
n07749192,[66 66 66 ... 35 40 39]
n07749192,[154 218 237 ... 222 234 236]
n07749192,[51 61 44 ... 22 34 22]
n07749192,[ 8  0  0 ... 13  7 11]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[105 109 108 ... 172 169 170]
n07749192,[  5  41 175 ...   2  27 180]
n07749192,[ 50  73  65 ... 107 104 102]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[23 25 33 ... 67 88 82]
n07749192,[7 7 7 ... 7 7 7]
n07749192,[ 50  48  53 ... 198 218 215]
n07749192,[50 55 52 ... 44 49 47]
n07749192,[113 132 156 ... 119 139 163]
n07749192,[244 250 255 ... 252 249 255]
n07749192,[ 34  36  47 ...  75  97 119]
n07749192,[183 194 179 ...   6   7   5]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[185  88  19 ... 153  57   3]
n07749192,[253 255 252 ... 252 255 252]
n07749192,[12 14 14 ...  3  6  6]
n07749192,[ 22  24  25 ... 127 167 212]
n07749192,[155  97  77 ...  54 147 229]
n07749192,[62 49 60 ... 78 61 75]
n07749192,[116 116 116 ... 178 178 178]
n07749192,[ 81  31  63 ...  50 106 175]
n07749192,[181 179 197 ... 242 241 251]
n07749192,[253 253 253 ... 255 255 255]
n07749192,[  2   2   2 ... 104  95  81]
n07749192,[ 44  68  55 ...  70 132  84]
n07749192,[143 143 143 ... 142 142 142]
n07749192,[7 7 7 ... 6 6 6]
n07749192,[ 93  86 119 ... 167 169 163]
n07749192,[255 255 251 ... 254 255 251]
n07749192,[  4  92 189 ...   3  79 166]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[109 135 151 ...  97 121 146]
n07749192,[2 2 0 ... 2 1 1]
n07749192,[ 8  0 22 ...  5  0 21]
n07749192,[13 14 14 ... 83 92 85]
n07749192,[170 161 157 ... 142 153 153]
n07749192,[ 72  91  99 ... 127 142 160]
n07749192,[ 8  6  6 ... 78 75 26]
n07749192,[ 2  6  8 ... 11 22 40]
n07749192,[ 86 164 160 ...  96 125 136]
n07749192,[255 255 252 ... 253 255 254]
n07749192,[255 255 255 ... 253 255 255]
n07749192,[ 67 138 224 ... 177 199 221]
n07749192,[219 231 237 ...  22  22  22]
n07749192,[161 131 126 ... 150 120 119]
n07749192,[33 91 18 ... 31 82 16]
n07749192,[250 252 255 ... 176 220 240]
n07749192,[106 141 106 ...   8  22  17]
n07749192,[104 143 209 ...  20  86 168]
n07749192,[ 15  42  92 ...  12 112 160]
n07749192,[ 50 132 244 ...   0  91 210]
n07749192,[200 186 180 ... 186 191 192]
n07749192,[33 46 48 ... 12 17 15]
n07749192,[  1 175 245 ...   1 114 223]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[ 8 22 69 ... 12 27 71]
n07749192,[42 19 68 ... 95 52 68]
n07749192,[122 135 133 ...  36  73  96]
n07749192,[  1   1   2 ...   3 111 134]
n07749192,[128 181 203 ... 113 174 199]
n07749192,[254 250 255 ... 253 254 252]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[ 39  33  10 ... 149 161 134]
n07749192,[  3 100 211 ...   4  84 197]
n07749192,[248 251 255 ... 248 251 255]
n07749192,[246 248 237 ... 255 255 255]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[228 248 253 ... 228 248 253]
n07749192,[235 219 191 ... 253 253 252]
n07749192,[ 0  0 18 ... 35 20 81]
n07749192,[ 64  67  41 ... 255 255 235]
n07749192,[ 76 130 117 ...  67 100  92]
n07749192,[252 247 246 ... 247 242 241]
n07749192,[215 185 120 ...  58   3   5]
n07749192,[ 10  32  75 ... 140 151 189]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[ 77 107  33 ...  88 132  21]
n07749192,[254 254 254 ... 254 254 254]
n07749192,[9 9 9 ... 8 8 8]
n07749192,[176 180 188 ...  78  81  85]
n07749192,[114 114 114 ... 255 255 255]
n07749192,[  0   0   0 ...   2 161 210]
n07749192,[ 23  75 154 ... 121 142 157]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[ 67  80  72 ... 202 225 225]
n07749192,[0 0 0 ... 0 0 0]
n07749192,[ 84  85  88 ...   3  98 114]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[29 38 52 ... 42 51 64]
n07749192,[30  0 12 ... 16  3  1]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[103  99 103 ...  23  22  38]
n07749192,[20 43 77 ... 13 57 98]
n07749192,[162 172 155 ... 150 105 192]
n07749192,[206 206 188 ... 247 247 231]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[106  94  90 ...  10  11  11]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[162 194 218 ... 124 156 192]
n07749192,[ 3 29 31 ...  9 27 24]
n07749192,[233 236 236 ... 234 227 228]
n07749192,[195 201 211 ...  13  27 103]
n07749192,[244 234 226 ... 182 187 179]
n07749192,[184 171 126 ...  96 114 138]
n07749192,[159 173 152 ...  21  62 107]
n07749192,[12  4  4 ... 18 25 13]
n07749192,[255 255 252 ... 254 255 254]
n07749192,[8 8 8 ... 8 8 8]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[181 144 185 ... 134 165 217]
n07749192,[254 254 254 ... 254 254 254]
n07749192,[ 9 29 20 ...  9 17 26]
n07749192,[19 61 71 ...  8 24 20]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[254 251 247 ...   0   0   0]
n07749192,[ 64  92 143 ...  31 117 255]
n07749192,[187 186 190 ... 156 154 154]
n07749192,[28 28 57 ... 33 32 64]
n07749192,[154 165 169 ... 131 146 145]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[58 58 58 ... 66 66 66]
n07749192,[ 23  77 106 ...  85  92 131]
n07749192,[ 94  86  85 ... 123 123 123]
n07749192,[ 79  36  14 ...  32 144 190]
n07749192,[ 30  33  41 ...   2  32 115]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[ 20 115 235 ... 112 183 235]
n07749192,[106 116 117 ... 139 135 125]
n07749192,[  6  25  65 ... 136 120 128]
n07749192,[162 141 116 ...  73  75  65]
n07749192,[ 29 127 102 ... 206 248 234]
n07749192,[ 29  81 166 ...  96 144 192]
n07749192,[10 15 16 ... 55 59 62]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[ 84  94 178 ...  80  92 150]
n07749192,[ 38  38  50 ... 251 255 253]
n07749192,[ 91 118 236 ... 127 137 184]
n07749192,[ 85 134 115 ...   0   7   1]
n07749192,[ 44 146  92 ...  21  81  40]
n07749192,[164 168 152 ... 111 116 107]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[43 69 89 ... 81 86 92]
n07749192,[254 254 254 ... 254 254 254]
n07749192,[248 253 248 ... 245 251 241]
n07749192,[254 254 254 ... 255 255 255]
n07749192,[ 52  36  70 ...   1 170 211]
n07749192,[ 51 154 224 ...  20  87 193]
n07749192,[ 30 153 237 ... 142 176 208]
n07749192,[232 236 231 ...  53 116 196]
n07749192,[239 239 239 ... 239 239 239]
n07749192,[23 35 38 ... 67 69 67]
n07749192,[ 34  47  53 ... 203 223 218]
n07749192,[ 32 227 255 ... 202 235 241]
n07749192,[190 220 255 ... 191 223 253]
n07749192,[15 80 50 ... 43 84 75]
n07749192,[164 168 159 ...  66 136 204]
n07749192,[160 163 158 ... 186 195 195]
n07749192,[  1  66 191 ...   3  78 200]
n07749192,[165 159 170 ...  26  44  98]
n07749192,[ 58 103 217 ...  82  89 128]
n07749192,[ 39  61  66 ... 255 255 255]
n07749192,[255 255 255 ... 253 255 255]
n07749192,[10  5  4 ... 11 11 11]
n07749192,[114 114 114 ... 255 255 255]
n07749192,[ 0 57 32 ... 25 58 66]
n07749192,[ 0 23 27 ... 50 92 93]
n07749192,[ 28  78 102 ...  78 149 196]
n07749192,[157 157 157 ... 254 254 254]
n07749192,[ 5 18  6 ... 66 50 17]
n07749192,[  1  19  37 ... 126 118 118]
n07749192,[252 239 237 ... 252 247 246]
n07749192,[254 254 254 ... 253 253 253]
n07749192,[184 180 184 ...  71  77  77]
n07749192,[181 255 255 ... 181 255 255]
n07749192,[ 39 149 237 ...  12  50 102]
n07749192,[254 251 246 ... 255 255 249]
n07749192,[121  89  53 ... 133 100  65]
n07749192,[49 45 42 ... 30 29 29]
n07749192,[198 230 239 ... 225 208 202]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[11 54 95 ...  4 16 53]
n07749192,[ 43  36  56 ... 220 217 205]
n07749192,[  1   1   1 ...  15 127 234]
n07749192,[ 2  8 12 ... 30 23 19]
n07749192,[123 163 148 ... 102 136 121]
n07749192,[10 15 14 ... 16 20 20]
n07749192,[181 188 156 ... 185 189 170]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[143 232 242 ... 161 167 170]
n07749192,[24 60 56 ... 18 61 50]
n07749192,[255 255 255 ... 254 254 254]
n07749192,[ 32  35  35 ... 178 202 214]
n07749192,[190 198 202 ... 255 255 255]
n07749192,[ 1  1  1 ... 69 83 12]
n07749192,[187 196 192 ... 189 189 189]
n07749192,[166 163 166 ...   7   9  18]
